command,mean,stddev,median,user,system,min,max
fdupes -r ~,57.28288685693501,0.15335093386634108,57.268010424935,25.218894764999998,32.011108985,57.012793766935005,57.495942664935
jdupes -z -r ~,9.986377967935,0.04028968029864408,9.986391970435001,4.962758565,4.967863185,9.899309255935,10.045273103935001
rmlint --hidden ~,15.353588426635,0.05542497474745538,15.358408147435,40.89432996499999,15.305185185,15.263647676935001,15.433052535935001
ddh ~,9.454118170235,0.07082923107300304,9.431460412935,34.399986365,27.331939284999997,9.356060199935001,9.569295394935
dupe-krill -s -d ~,7.919450947835,0.062006915488048216,7.9023544844349995,5.001753265,2.8802579849999996,7.856923843935,8.062696570935001
fddf -m 0 ~,5.0760028066350005,0.031022948256131076,5.080528830435,9.799636865,12.765911284999998,5.026187142935,5.114273942935
yadf ~,3.7553178744349998,0.019148240784653776,3.750121971935,6.158464565,7.100562285,3.732325532935,3.796319064935
